,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-203220000.0,57190000.0,-16263853.211009,-33660000.0,-29160000.0
Tax Rate For Calcs,0.18,0.19,0.191339,0.18,0.18
Normalized EBITDA,37915000000.0,37933000000.0,34416000000.0,33741000000.0,33556000000.0
Total Unusual Items,-1129000000.0,301000000.0,-85000000.0,-187000000.0,-162000000.0
Total Unusual Items Excluding Goodwill,-1129000000.0,301000000.0,-85000000.0,-187000000.0,-162000000.0
Net Income From Continuing Operation Net Minority Interest,24108000000.0,24667000000.0,22036000000.0,21939000000.0,21870000000.0
Reconciled Depreciation,6827000000.0,7383000000.0,6380000000.0,6027000000.0,5959000000.0
Reconciled Cost Of Revenue,21799000000.0,20099000000.0,19684000000.0,18505000000.0,19623000000.0
EBITDA,36786000000.0,38234000000.0,34331000000.0,33554000000.0,33394000000.0
EBIT,29959000000.0,30851000000.0,27951000000.0,27527000000.0,27435000000.0
Net Interest Income,6000000.0,99000000.0,-63000000.0,-181000000.0,-175000000.0
Interest Expense,594000000.0,582000000.0,701000000.0,800000000.0,909000000.0
Interest Income,600000000.0,681000000.0,638000000.0,619000000.0,734000000.0
Normalized Income,25033780000.0,24423190000.0,22104736146.78899,22092340000.0,22002840000.0
Net Income From Continuing And Discontinued Operation,24108000000.0,24667000000.0,22036000000.0,21939000000.0,21870000000.0
Total Expenses,37979000000.0,35033000000.0,36802000000.0,34277000000.0,34988000000.0
Total Operating Income As Reported,31653000000.0,30552000000.0,27925000000.0,27581000000.0,27032000000.0
Diluted Average Shares,7468000000.0,7470000000.0,7472000000.0,7472000000.0,7468000000.0
Basic Average Shares,7435000000.0,7433000000.0,7433000000.0,7431000000.0,7432000000.0
Diluted EPS,3.23,3.3,2.95,2.94,2.93
Basic EPS,3.24,3.32,2.96,2.95,2.94
Diluted NI Availto Com Stockholders,24108000000.0,24667000000.0,22036000000.0,21939000000.0,21870000000.0
Net Income Common Stockholders,24108000000.0,24667000000.0,22036000000.0,21939000000.0,21870000000.0
Net Income,24108000000.0,24667000000.0,22036000000.0,21939000000.0,21870000000.0
Net Income Including Noncontrolling Interests,24108000000.0,24667000000.0,22036000000.0,21939000000.0,21870000000.0
Net Income Continuous Operations,24108000000.0,24667000000.0,22036000000.0,21939000000.0,21870000000.0
Tax Provision,5257000000.0,5602000000.0,5214000000.0,4788000000.0,4656000000.0
Pretax Income,29365000000.0,30269000000.0,27250000000.0,26727000000.0,26526000000.0
Other Income Expense,-2294000000.0,-382000000.0,-612000000.0,-673000000.0,-331000000.0
Other Non Operating Income Expenses,-1165000000.0,-683000000.0,-527000000.0,-486000000.0,-169000000.0
Special Income Charges,-867000000.0,-7000000.0,-22000000.0,-17000000.0,-161000000.0
Write Off,867000000.0,7000000.0,22000000.0,17000000.0,161000000.0
Gain On Sale Of Security,-262000000.0,308000000.0,-63000000.0,-170000000.0,-1000000.0
Net Non Operating Interest Income Expense,6000000.0,99000000.0,-63000000.0,-181000000.0,-175000000.0
Interest Expense Non Operating,594000000.0,582000000.0,701000000.0,800000000.0,909000000.0
Interest Income Non Operating,600000000.0,681000000.0,638000000.0,619000000.0,734000000.0
Operating Income,31653000000.0,30552000000.0,27925000000.0,27581000000.0,27032000000.0
Operating Expense,16180000000.0,14934000000.0,17118000000.0,15772000000.0,15365000000.0
Research And Development,7917000000.0,7544000000.0,8056000000.0,7653000000.0,7142000000.0
Selling General And Administration,8263000000.0,7390000000.0,9062000000.0,8119000000.0,8223000000.0
Selling And Marketing Expense,6440000000.0,5717000000.0,6816000000.0,6207000000.0,6246000000.0
General And Administrative Expense,1823000000.0,1673000000.0,2246000000.0,1912000000.0,1977000000.0
Other Gand A,1823000000.0,1673000000.0,2246000000.0,1912000000.0,1977000000.0
Gross Profit,47833000000.0,45486000000.0,45043000000.0,43353000000.0,42397000000.0
Cost Of Revenue,21799000000.0,20099000000.0,19684000000.0,18505000000.0,19623000000.0
Total Revenue,69632000000.0,65585000000.0,64727000000.0,61858000000.0,62020000000.0
Operating Revenue,69632000000.0,65585000000.0,64727000000.0,61858000000.0,62020000000.0
